,Laptop_names,Price
0,"Samsung Chromebook 500C - Celeron processor - 2gb Ram - 16GB SSD - 11.6"" screen - Playstore supported","<span class=""ooOxS"">Rs. 7,700</span>"
1,Acer C740 ChromeBook Laptop - 4GB RAM / 128GB SSD Storage - Windows 10 Installed - Long Battery Life,"<span class=""ooOxS"">Rs. 7,700</span>"
2,Acer Chromebook Spin 11 R751T - RAM 4GB - ROM 32GB - Touchscreen - 360 Rotatable - Playstore Supported - PubG Supported - Longer Battery Life,"<span class=""ooOxS"">Rs. 7,700</span>"
3,Outer Screen For Huawei Mate 60 50 30 Lite 10 Pro 20 X 20X Touch Panel LCD Display Front Glass Cover Repair Replace Parts + OCA,"<span class=""ooOxS"">Rs. 7,700</span>"
4,4K Digital Camera 48MP Vlogging YouTube 60FPS Auto Focus 16X Zoom Camcorder New Recording Video Camera With WIFI LENS 128G Card,"<span class=""ooOxS"">Rs. 7,700</span>"
5,"Lenovo Yoga Pro 9 16IMH9- Core Ultra 9 185H- 32GB RAM- 1TB SSD M.2- NVIDIA GeForce RTXTM 4060 8GB, 16″ 3.2K Mini LED Touchscreen-Windows 11 Home 64- 2 Years local Warranty- 83DN","<span class=""ooOxS"">Rs. 7,700</span>"
6,"Hp Chromebook 11 G4 Windows | celeron processor | 4GB RAM | 16GB SSD EMMC | 11.6"" screen","<span class=""ooOxS"">Rs. 7,700</span>"
7,Apple MacBook Pro MKGQ3 (Space Grey) – M1 Chip 8-core CPU 16GB 512GB SSD 14″ Retina LED Display With True Tone Backlit Magic Keyboard Touch-ID (2021),"<span class=""ooOxS"">Rs. 7,700</span>"
8,Launcher Soldier Army Gun MOC SWAT Military s Playmobil Brinquedos Figures Building Block Brick Mini Assembly Toys,"<span class=""ooOxS"">Rs. 7,700</span>"
9,Acer C738T | Touch Screen Laptop | 32GB Storage | 4GB RAM | 360 Rotatable | | Long Battery Life -  Windows 10 Preinstalled,"<span class=""ooOxS"">Rs. 7,700</span>"
10,HP EliteBook 840 G6 Laptop | 14 FHD Display Touch Screen | Intel Core i5-8265U | 8GB DDR4 RAM | 256GB M.2 SSD | WiFi | Windows 10 Pro 64-Bit,"<span class=""ooOxS"">Rs. 7,700</span>"
11,Acer C740 4gb / 16gb - Chromebook Laptop - With Play Store - Long Battery Life - Best for Online Usage,"<span class=""ooOxS"">Rs. 7,700</span>"
12,"HP Victus 16-D0023DX Gaming Laptop 11th Gen Core i5-11400H, 8GB DDR4, 256GB SSD, NVIDIA RTX3050 4GB, 16.1"" FHD IPS, Windows 11 Home","<span class=""ooOxS"">Rs. 7,700</span>"
13,4pcs Cute Panda Erasable Pen Blue Ink Quick-Drying Soft Pen Holds Smooth Writing Aesthetic Stationery Japanese School Supplies,"<span class=""ooOxS"">Rs. 7,700</span>"
14,For VIVO Y03 6.56 HD Clear Ultra Slim Back Rear Camera Cover Lens Protector Soft Fiber Protective Film -Not Tempered Glass,"<span class=""ooOxS"">Rs. 7,700</span>"
15,DELL CHROMEBOOK LAPTOP 3180 - 4GB/16GB - PLAYSTORE SUPPORTED,"<span class=""ooOxS"">Rs. 7,700</span>"
16,HP 15 FQ2505TU I51135G7 8GB 512GB WIN11 1YR HP WARRANTY,"<span class=""ooOxS"">Rs. 7,700</span>"
17,Acer C738T | Touch Screen Laptop | 32GB Storage | 4GB RAM | 360 Rotatable | | Long Battery Life -  Windows 10 Preinstalled,"<span class=""ooOxS"">Rs. 7,700</span>"
18,Acer C740 ChromeBook Laptop - 4gb / 16gb - With Play Store - Longer Battery Life,"<span class=""ooOxS"">Rs. 7,700</span>"
19,Acer C732  Chromebook Laptop - 4GB/32GB - with Play Store - Long Battery Life,"<span class=""ooOxS"">Rs. 7,700</span>"
20,"Apple MacBook Pro 2011 A1278 Display 13-inch Laptop (Intel i5 2.5 GHz, 8 GB RAM, 256 SSD, Intel HD, macOS High Sierra - Silver Free Bag","<span class=""ooOxS"">Rs. 7,700</span>"
21,For Alcatel Joy Tab 2 8.0 2019 Tab2 2022Tablet Protective Film Guard Tempered Glass Screen Protector,"<span class=""ooOxS"">Rs. 7,700</span>"
22,HP EliteBook 820g1 Core i5-4th Generation 4GB Ram 500gb HDD,"<span class=""ooOxS"">Rs. 7,700</span>"
23,HP 15 EQ2174AU R5 5500U 8GB 512GB WIN 11 1YR HP WARRANTY,"<span class=""ooOxS"">Rs. 7,700</span>"
24,Lenovo N22 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported,"<span class=""ooOxS"">Rs. 7,700</span>"
25,10pcs 4MM Srewdriver Bits Cross Electric Batch Head S2 Alloy Steel Material 1.2mm-4.0mm PH0 PH1 PH2 Electric Screw Driver Parts,"<span class=""ooOxS"">Rs. 7,700</span>"
26,"Samsung Chromebook 500C | 2GB RAM DDR3L | 16GB SSD EMMC | PLAYSTORE SUPPORTED | 11.6"" SCREEN","<span class=""ooOxS"">Rs. 7,700</span>"
27,HD Curved Ful Body Hydrogel Film For Redmi Note 11 12 13 Pro Plus Pro+ Front Sides Back Clear Cover Screen Protector,"<span class=""ooOxS"">Rs. 7,700</span>"
28,3S 4S 5S 6S Lithium Battery Capacitive Active Equalizer Battery Voltage Balance Module Heat Dissipation,"<span class=""ooOxS"">Rs. 7,700</span>"
29,Mini A5/A6/A7 Agenda Book Portable Notebook Creative Pocket Notepad To Do List Diary Weekly Planner Office School Stationery,"<span class=""ooOxS"">Rs. 7,700</span>"
30,Passion Sensual Massage Oil for Couples Relaxation Purple Charm Oil for Massage Therapy Perfect Glide Smooth Skin,"<span class=""ooOxS"">Rs. 7,700</span>"
31,Soft Flexible Hydrogel Film for Apple Visone Pro Screen Protector HD Clear Anti-blue Light Protective Film for Apple Vision Pro,"<span class=""ooOxS"">Rs. 7,700</span>"
32,Elegan Lace Short Bridal Gloves Inlaid Rhinestone Bowknot Slim Bridal Fingerless Gloves White Ivory Wedding Gown Accessories,"<span class=""ooOxS"">Rs. 7,700</span>"
33,HP Elitebook 8470P - Core i5 3rd Gen - 2.6Ghz - 4GB RAM - 320GB HDD - 14 inch Screen - Certified Refurbished - Used Laptops,"<span class=""ooOxS"">Rs. 7,700</span>"
34,_DELL Core i5-7th Generation| 16GB RAM 256GB SSD[Hard Drive][HD] 4Hours+ Battery Backup,"<span class=""ooOxS"">Rs. 7,700</span>"
35,1-3PCS Acrylic Mini Picture Frame Instant Camera Film Photo Holder Photo Picture Frame for Instax Mini 11/9 Instant Film,"<span class=""ooOxS"">Rs. 7,700</span>"
36,Silicone Protective Cover For Nintend Switch Lite Controller Accessories For Nintendo All-inclusive Game Console Anti-slip Cases,"<span class=""ooOxS"">Rs. 7,700</span>"
37,"Lenovo Thinkpad T430 Built Business Laptop Computer (Intel Dual Core i5 Up to 3.3 Ghz Processor, 8GB Memory, 500GB HDD,","<span class=""ooOxS"">Rs. 7,700</span>"
38,Fujitsu T726 Core i7-6th Generation 8Gb Ram 500Gb Hard Drive,"<span class=""ooOxS"">Rs. 7,700</span>"
39,Lenovo Thinkpad T420 - Intel Core i5 2520M 4GB 500GB Windows 10 Professional,"<span class=""ooOxS"">Rs. 7,700</span>"
40,"Samsung Chromebook 500C - Celeron processor - 2gb Ram - 16GB SSD - 11.6"" screen - Playstore supported","<span class=""ooOxS"">Rs. 7,700</span>"
41,Acer C740 ChromeBook Laptop - 4GB RAM / 128GB SSD Storage - Windows 10 Installed - Long Battery Life,"<span class=""ooOxS"">Rs. 7,700</span>"
42,Acer Chromebook Spin 11 R751T - RAM 4GB - ROM 32GB - Touchscreen - 360 Rotatable - Playstore Supported - PubG Supported - Longer Battery Life,"<span class=""ooOxS"">Rs. 7,700</span>"
43,Outer Screen For Huawei Mate 60 50 30 Lite 10 Pro 20 X 20X Touch Panel LCD Display Front Glass Cover Repair Replace Parts + OCA,"<span class=""ooOxS"">Rs. 7,700</span>"
44,4K Digital Camera 48MP Vlogging YouTube 60FPS Auto Focus 16X Zoom Camcorder New Recording Video Camera With WIFI LENS 128G Card,"<span class=""ooOxS"">Rs. 7,700</span>"
45,"Lenovo Yoga Pro 9 16IMH9- Core Ultra 9 185H- 32GB RAM- 1TB SSD M.2- NVIDIA GeForce RTXTM 4060 8GB, 16″ 3.2K Mini LED Touchscreen-Windows 11 Home 64- 2 Years local Warranty- 83DN","<span class=""ooOxS"">Rs. 7,700</span>"
46,"Hp Chromebook 11 G4 Windows | celeron processor | 4GB RAM | 16GB SSD EMMC | 11.6"" screen","<span class=""ooOxS"">Rs. 7,700</span>"
47,Apple MacBook Pro MKGQ3 (Space Grey) – M1 Chip 8-core CPU 16GB 512GB SSD 14″ Retina LED Display With True Tone Backlit Magic Keyboard Touch-ID (2021),"<span class=""ooOxS"">Rs. 7,700</span>"
48,Launcher Soldier Army Gun MOC SWAT Military s Playmobil Brinquedos Figures Building Block Brick Mini Assembly Toys,"<span class=""ooOxS"">Rs. 7,700</span>"
49,Acer C738T | Touch Screen Laptop | 32GB Storage | 4GB RAM | 360 Rotatable | | Long Battery Life -  Windows 10 Preinstalled,"<span class=""ooOxS"">Rs. 7,700</span>"
50,HP EliteBook 840 G6 Laptop | 14 FHD Display Touch Screen | Intel Core i5-8265U | 8GB DDR4 RAM | 256GB M.2 SSD | WiFi | Windows 10 Pro 64-Bit,"<span class=""ooOxS"">Rs. 7,700</span>"
51,Acer C740 4gb / 16gb - Chromebook Laptop - With Play Store - Long Battery Life - Best for Online Usage,"<span class=""ooOxS"">Rs. 7,700</span>"
52,"HP Victus 16-D0023DX Gaming Laptop 11th Gen Core i5-11400H, 8GB DDR4, 256GB SSD, NVIDIA RTX3050 4GB, 16.1"" FHD IPS, Windows 11 Home","<span class=""ooOxS"">Rs. 7,700</span>"
53,4pcs Cute Panda Erasable Pen Blue Ink Quick-Drying Soft Pen Holds Smooth Writing Aesthetic Stationery Japanese School Supplies,"<span class=""ooOxS"">Rs. 7,700</span>"
54,For VIVO Y03 6.56 HD Clear Ultra Slim Back Rear Camera Cover Lens Protector Soft Fiber Protective Film -Not Tempered Glass,"<span class=""ooOxS"">Rs. 7,700</span>"
55,DELL CHROMEBOOK LAPTOP 3180 - 4GB/16GB - PLAYSTORE SUPPORTED,"<span class=""ooOxS"">Rs. 7,700</span>"
56,HP 15 FQ2505TU I51135G7 8GB 512GB WIN11 1YR HP WARRANTY,"<span class=""ooOxS"">Rs. 7,700</span>"
57,Acer C738T | Touch Screen Laptop | 32GB Storage | 4GB RAM | 360 Rotatable | | Long Battery Life -  Windows 10 Preinstalled,"<span class=""ooOxS"">Rs. 7,700</span>"
58,Acer C740 ChromeBook Laptop - 4gb / 16gb - With Play Store - Longer Battery Life,"<span class=""ooOxS"">Rs. 7,700</span>"
59,Acer C732  Chromebook Laptop - 4GB/32GB - with Play Store - Long Battery Life,"<span class=""ooOxS"">Rs. 7,700</span>"
60,"Apple MacBook Pro 2011 A1278 Display 13-inch Laptop (Intel i5 2.5 GHz, 8 GB RAM, 256 SSD, Intel HD, macOS High Sierra - Silver Free Bag","<span class=""ooOxS"">Rs. 7,700</span>"
61,For Alcatel Joy Tab 2 8.0 2019 Tab2 2022Tablet Protective Film Guard Tempered Glass Screen Protector,"<span class=""ooOxS"">Rs. 7,700</span>"
62,HP EliteBook 820g1 Core i5-4th Generation 4GB Ram 500gb HDD,"<span class=""ooOxS"">Rs. 7,700</span>"
63,HP 15 EQ2174AU R5 5500U 8GB 512GB WIN 11 1YR HP WARRANTY,"<span class=""ooOxS"">Rs. 7,700</span>"
64,Lenovo N22 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported,"<span class=""ooOxS"">Rs. 7,700</span>"
65,10pcs 4MM Srewdriver Bits Cross Electric Batch Head S2 Alloy Steel Material 1.2mm-4.0mm PH0 PH1 PH2 Electric Screw Driver Parts,"<span class=""ooOxS"">Rs. 7,700</span>"
66,"Samsung Chromebook 500C | 2GB RAM DDR3L | 16GB SSD EMMC | PLAYSTORE SUPPORTED | 11.6"" SCREEN","<span class=""ooOxS"">Rs. 7,700</span>"
67,HD Curved Ful Body Hydrogel Film For Redmi Note 11 12 13 Pro Plus Pro+ Front Sides Back Clear Cover Screen Protector,"<span class=""ooOxS"">Rs. 7,700</span>"
68,3S 4S 5S 6S Lithium Battery Capacitive Active Equalizer Battery Voltage Balance Module Heat Dissipation,"<span class=""ooOxS"">Rs. 7,700</span>"
69,Mini A5/A6/A7 Agenda Book Portable Notebook Creative Pocket Notepad To Do List Diary Weekly Planner Office School Stationery,"<span class=""ooOxS"">Rs. 7,700</span>"
70,Passion Sensual Massage Oil for Couples Relaxation Purple Charm Oil for Massage Therapy Perfect Glide Smooth Skin,"<span class=""ooOxS"">Rs. 7,700</span>"
71,Soft Flexible Hydrogel Film for Apple Visone Pro Screen Protector HD Clear Anti-blue Light Protective Film for Apple Vision Pro,"<span class=""ooOxS"">Rs. 7,700</span>"
72,Elegan Lace Short Bridal Gloves Inlaid Rhinestone Bowknot Slim Bridal Fingerless Gloves White Ivory Wedding Gown Accessories,"<span class=""ooOxS"">Rs. 7,700</span>"
73,HP Elitebook 8470P - Core i5 3rd Gen - 2.6Ghz - 4GB RAM - 320GB HDD - 14 inch Screen - Certified Refurbished - Used Laptops,"<span class=""ooOxS"">Rs. 7,700</span>"
74,_DELL Core i5-7th Generation| 16GB RAM 256GB SSD[Hard Drive][HD] 4Hours+ Battery Backup,"<span class=""ooOxS"">Rs. 7,700</span>"
75,1-3PCS Acrylic Mini Picture Frame Instant Camera Film Photo Holder Photo Picture Frame for Instax Mini 11/9 Instant Film,"<span class=""ooOxS"">Rs. 7,700</span>"
76,Silicone Protective Cover For Nintend Switch Lite Controller Accessories For Nintendo All-inclusive Game Console Anti-slip Cases,"<span class=""ooOxS"">Rs. 7,700</span>"
77,"Lenovo Thinkpad T430 Built Business Laptop Computer (Intel Dual Core i5 Up to 3.3 Ghz Processor, 8GB Memory, 500GB HDD,","<span class=""ooOxS"">Rs. 7,700</span>"
78,Fujitsu T726 Core i7-6th Generation 8Gb Ram 500Gb Hard Drive,"<span class=""ooOxS"">Rs. 7,700</span>"
79,Lenovo Thinkpad T420 - Intel Core i5 2520M 4GB 500GB Windows 10 Professional,"<span class=""ooOxS"">Rs. 7,700</span>"
80,"Samsung Chromebook 500C - Celeron processor - 2gb Ram - 16GB SSD - 11.6"" screen - Playstore supported","<span class=""ooOxS"">Rs. 7,700</span>"
81,Acer C740 ChromeBook Laptop - 4GB RAM / 128GB SSD Storage - Windows 10 Installed - Long Battery Life,"<span class=""ooOxS"">Rs. 7,700</span>"
82,Acer Chromebook Spin 11 R751T - RAM 4GB - ROM 32GB - Touchscreen - 360 Rotatable - Playstore Supported - PubG Supported - Longer Battery Life,"<span class=""ooOxS"">Rs. 7,700</span>"
83,Outer Screen For Huawei Mate 60 50 30 Lite 10 Pro 20 X 20X Touch Panel LCD Display Front Glass Cover Repair Replace Parts + OCA,"<span class=""ooOxS"">Rs. 7,700</span>"
84,4K Digital Camera 48MP Vlogging YouTube 60FPS Auto Focus 16X Zoom Camcorder New Recording Video Camera With WIFI LENS 128G Card,"<span class=""ooOxS"">Rs. 7,700</span>"
85,"Lenovo Yoga Pro 9 16IMH9- Core Ultra 9 185H- 32GB RAM- 1TB SSD M.2- NVIDIA GeForce RTXTM 4060 8GB, 16″ 3.2K Mini LED Touchscreen-Windows 11 Home 64- 2 Years local Warranty- 83DN","<span class=""ooOxS"">Rs. 7,700</span>"
86,"Hp Chromebook 11 G4 Windows | celeron processor | 4GB RAM | 16GB SSD EMMC | 11.6"" screen","<span class=""ooOxS"">Rs. 7,700</span>"
87,Apple MacBook Pro MKGQ3 (Space Grey) – M1 Chip 8-core CPU 16GB 512GB SSD 14″ Retina LED Display With True Tone Backlit Magic Keyboard Touch-ID (2021),"<span class=""ooOxS"">Rs. 7,700</span>"
88,Launcher Soldier Army Gun MOC SWAT Military s Playmobil Brinquedos Figures Building Block Brick Mini Assembly Toys,"<span class=""ooOxS"">Rs. 7,700</span>"
89,Acer C738T | Touch Screen Laptop | 32GB Storage | 4GB RAM | 360 Rotatable | | Long Battery Life -  Windows 10 Preinstalled,"<span class=""ooOxS"">Rs. 7,700</span>"
90,HP EliteBook 840 G6 Laptop | 14 FHD Display Touch Screen | Intel Core i5-8265U | 8GB DDR4 RAM | 256GB M.2 SSD | WiFi | Windows 10 Pro 64-Bit,"<span class=""ooOxS"">Rs. 7,700</span>"
91,Acer C740 4gb / 16gb - Chromebook Laptop - With Play Store - Long Battery Life - Best for Online Usage,"<span class=""ooOxS"">Rs. 7,700</span>"
92,"HP Victus 16-D0023DX Gaming Laptop 11th Gen Core i5-11400H, 8GB DDR4, 256GB SSD, NVIDIA RTX3050 4GB, 16.1"" FHD IPS, Windows 11 Home","<span class=""ooOxS"">Rs. 7,700</span>"
93,4pcs Cute Panda Erasable Pen Blue Ink Quick-Drying Soft Pen Holds Smooth Writing Aesthetic Stationery Japanese School Supplies,"<span class=""ooOxS"">Rs. 7,700</span>"
94,For VIVO Y03 6.56 HD Clear Ultra Slim Back Rear Camera Cover Lens Protector Soft Fiber Protective Film -Not Tempered Glass,"<span class=""ooOxS"">Rs. 7,700</span>"
95,DELL CHROMEBOOK LAPTOP 3180 - 4GB/16GB - PLAYSTORE SUPPORTED,"<span class=""ooOxS"">Rs. 7,700</span>"
96,HP 15 FQ2505TU I51135G7 8GB 512GB WIN11 1YR HP WARRANTY,"<span class=""ooOxS"">Rs. 7,700</span>"
97,Acer C738T | Touch Screen Laptop | 32GB Storage | 4GB RAM | 360 Rotatable | | Long Battery Life -  Windows 10 Preinstalled,"<span class=""ooOxS"">Rs. 7,700</span>"
98,Acer C740 ChromeBook Laptop - 4gb / 16gb - With Play Store - Longer Battery Life,"<span class=""ooOxS"">Rs. 7,700</span>"
